synset_name,definition,extracted key phrases,folder_name,Extended Description,Extended Key Phrases,Class Name,key_phrase_1,key_phrase_2,key_phrase_3
crane,lifts and moves heavy objects; lifting tackle is suspended from a pivoted boom that rotates around a vertical axis,lifting tackle suspended from a pivoted boom,n03126707,"['A crane is a type of machine used for lifting and moving heavy objects. It consists of a pivoted boom that rotates around a vertical axis, with lifting tackle suspended from it. The boom is typically supported by a sturdy base or foundation, and the lifting tackle is made up of ropes, chains, or other materials that can lift and move heavy loads. The crane can be powered by electricity, diesel, or other sources, and can be controlled remotely or manually. The boom can be extended or re']","[""long neck,"", ""flat, broad wings,"", ""black and white plumage""]",construction crane,construction crane with long neck,"construction crane with flat, broad wings",construction crane with black and white plumage
crash_helmet,a padded helmet worn by people riding bicycles or motorcycles; protects the head in case of accidents,padded helmet for riding bicycles or motorcycles,n03127747,"[""- The crash helmet is a protective headgear designed to safeguard the rider's head in the event of an accident. It is typically made of a lightweight, shock-absorbing material such as foam or plastic."", ""- The helmet is shaped to fit snugly around the rider's head, with a chin strap to secure it in place."", '- The helmet is designed to distribute the force of an impact evenly, reducing the risk of head injury.', '- The helmet is available in various sizes and']","[""rounded shape,"", ""ventilated holes,"", ""bright yellow color""]",crash helmet,crash helmet with rounded shape,crash helmet with ventilated holes,crash helmet with bright yellow color
crate,a rugged box (usually made of wood); used for shipping,rugged box for shipping.,n03127925,"['A crate is a sturdy, rectangular box made of wood, metal, or plastic. It is designed to protect and transport goods, such as furniture, machinery, or even animals. Crates can be customized to fit specific items, with dividers and padding to prevent damage during transport. They are often used in shipping and logistics, and can be found in warehouses, ports, and other industrial settings. Crates can vary in size, from small boxes to large containers, and are typically marked with labels']","[""rectangular shape,"", ""flat top and bottom,"", ""wooden or metal material""]",crate,crate with rectangular shape,crate with flat top and bottom,crate with wooden or metal material
crib,baby bed with high sides made of slats,baby bed with high slatted sides.,n03131574,"['A crib is a baby bed designed for newborns and young infants. It typically has high sides made of slats, which provide a safe and secure environment for the baby to sleep. The crib is usually made of wood or metal and has a sturdy frame that can support the weight of the baby. The mattress is typically placed inside the crib, and the baby is placed on it to sleep. The crib is designed to be easy to assemble and disassemble, making it convenient for parents to move it']","[""low-to-the-ground structure,"", ""soft, padded surface,"", ""white or cream-colored color scheme""]",infant bed,infant bed with low-to-the-ground structure,"infant bed with soft, padded surface",infant bed with white or cream-colored color scheme
crock_pot,an electric cooker that maintains a relatively low temperature,electric cooker with low temperature.,n03133878,"['A crock pot is an electric cooker that is designed to maintain a relatively low temperature, typically between 150°F and 300°F (65°C to 150°C). It is often used for slow cooking, braising, and stewing, as it allows for the gradual breakdown of tougher cuts of meat and the infusion of flavors into the food. The crock pot is typically made of ceramic or stainless steel and has a heating element at the bottom. It is often used for cooking meals that']","[""rounded body shape,"", ""stainless steel material,"", ""handle on top""]",Crock Pot,Crock Pot with rounded body shape,Crock Pot with stainless steel material,Crock Pot with handle on top
croquet_ball,a wooden ball used in playing croquet,wooden ball used in playing croquet,n03134739,"['- Diameter: 2.5 inches', '- Weight: 1.5 ounces', '- Material: Wood', '- Color: White', '- Surface: Smooth', '- Purpose: Used in playing the game of croquet', '- Size: Standardized size for all croquet balls', '- Shape: Spherical', '- Texture: Smooth', '- Color: White', '- Weight: 1.5 ounces', '- Material: Wood', '-']","[""round shape,"", ""smooth surface,"", ""bright yellow color""]",croquet ball,croquet ball with round shape,croquet ball with smooth surface,croquet ball with bright yellow color
crutch,a wooden or metal staff that fits under the armpit and reaches to the ground; used by disabled person while walking,wooden or metal staff,n03141823,"['- A crutch is a device used by people who have difficulty walking due to a disability or injury. It is typically made of wood or metal and has a curved or angled shape that fits under the armpit and reaches to the ground.', '- The crutch provides support and stability for the user, allowing them to walk with greater ease and confidence. It can be used in conjunction with a cane or walker for added support.', '- Crutches are available in different sizes and styles to accommodate']","[""long, straight handle,"", ""curved, padded grip,"", ""metal or wooden material""]",crutch,"crutch with long, straight handle","crutch with curved, padded grip",crutch with metal or wooden material
cuirass,medieval body armor that covers the chest and back,medieval body armor that covers the chest and back,n03146219,"['A cuirass is a type of medieval body armor that covers the chest and back. It is typically made of metal, such as steel or iron, and is designed to protect the wearer from sword and arrow attacks. The cuirass is usually shaped to fit the contours of the body, with a curved shape to protect the chest and a flat shape to protect the back. It may be worn with other pieces of armor, such as a helmet, gauntlets, and greaves, to']","[""armored body shape,"", ""metallic sheen,"", ""intricate, geometric patterns""]",cuirass,cuirass with armored body shape,cuirass with metallic sheen,"cuirass with intricate, geometric patterns"
dam,a barrier constructed to contain the flow of water or to keep out the sea,barrier to contain water or sea,n03160309,"['A dam is a barrier constructed to contain the flow of water or to keep out the sea. It is typically made of concrete, earth, or rock and is designed to withstand the force of water flowing over or through it. Dams can be used for a variety of purposes, including irrigation, hydroelectric power generation, and flood control. They can be built across rivers, streams, or coastal areas, and can vary in size and complexity depending on the purpose and location.', 'Attributes:', '-']","[""water-impounding structure,"", ""concrete or earthen embankment,"", ""gate or spillway""]",dam,dam with water-impounding structure,dam with concrete or earthen embankment,dam with gate or spillway
desk,a piece of furniture with a writing surface and usually drawers or other compartments,furniture with a writing surface and drawers,n03179701,"['- A desk is a piece of furniture designed for holding and organizing various items, such as papers, pens, and other office supplies.', '- It typically has a flat, horizontal surface, known as the writing surface, where people can write, work, or perform other tasks.', '- Desks often have drawers, shelves, or other compartments to store items, keeping them organized and within easy reach.', '- They can be made of various materials, such as wood, metal, or plastic,']","[""flat surface,"", ""rectangular shape,"", ""wooden or metal material""]",desk,desk with flat surface,desk with rectangular shape,desk with wooden or metal material
desktop_computer,a personal computer small enough to fit conveniently in an individual workspace,personal computer ,n03180011,"['- A desktop computer is a type of personal computer that is designed to be used in a fixed location, such as a home or office.', '- It typically consists of a central processing unit (CPU), memory (RAM), and a storage device (hard drive or solid-state drive).', '- The CPU is the brain of the computer, responsible for executing instructions and performing calculations.', '- The memory (RAM) is used to temporarily store data and program instructions while the CPU is processing them.']","[""rectangular shape,"", ""flat, smooth surface,"", ""colorful keyboard and screen""]",desktop computer,desktop computer with rectangular shape,"desktop computer with flat, smooth surface",desktop computer with colorful keyboard and screen
dial_telephone,a telephone with a dial for registering the number to be called,telephone with a dial.,n03187595,"['- The dial is a circular or oval-shaped device with a series of holes or numbers on it.', '- The user rotates the dial to the desired number and then releases it, allowing the number to be registered.', '- The telephone has a receiver and a mouthpiece, and it is typically connected to a telephone line.', '- The dial is usually located on the front of the telephone, and it may be accompanied by a keypad or other controls.', '- The dial telephone is a type of']","[""curved, rounded body shape,"", ""numerical keypad,"", ""colorful, raised buttons""]",rotary dial telephone,"rotary dial telephone with curved, rounded body shape",rotary dial telephone with numerical keypad,"rotary dial telephone with colorful, raised buttons"
diaper,garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement,garment to catch excrement,n03188531,"['- A diaper is a garment worn by infants to catch excrement.', '- It is typically made of a soft, absorbent material such as cotton or synthetic fibers.', ""- The diaper is folded and placed between the infant's legs, with the waistband fastened around the waist."", '- The diaper is designed to be changed frequently to prevent skin irritation and maintain hygiene.', '- Diapers come in various sizes and styles, including disposable and cloth diapers.', '- Disposable diapers are made of']","[""soft, absorbent material,"", ""elastic waistband,"", ""plastic tabs""]",diaper,"diaper with soft, absorbent material",diaper with elastic waistband,diaper with plastic tabs
digital_clock,a clock that displays the time of day digitally,digital clock,n03196217,"['- The digital clock is a type of clock that displays the time of day in numeric format.', '- It typically has a display screen that shows the hours and minutes in a 12-hour or 24-hour format.', '- The clock can be powered by batteries or plugged into an electrical outlet.', '- It often has additional features such as an alarm, timer, and date display.', '- The display screen is usually backlit for easy reading in low-light environments.', '- The clock can']","[""numerical display,"", ""rectangular shape,"", ""backlit screen""]",digital clock,digital clock with numerical display,digital clock with rectangular shape,digital clock with backlit screen
digital_watch,a watch with a digital display,digital watch,n03197337,"['- The watch has a rectangular face with a digital display that shows the time in hours and minutes.', '- The watch has a single button that can be used to adjust the time.', '- The watch has a battery life of at least 1 year.', '- The watch is water-resistant up to 30 meters.', '- The watch has a strap that can be adjusted to fit different wrist sizes.', 'Class: Smartphone', 'Minimal Definition: a handheld device with a touchscreen interface']","[""rectangular face,"", ""numerical display,"", ""thin, metallic strap""]",digital watch,digital watch with rectangular face,digital watch with numerical display,"digital watch with thin, metallic strap"
dining_table,a table at which meals are served,table for meals,n03201208,"['- A dining table is a piece of furniture designed for serving meals.', '- It typically has a flat surface, legs, and a frame.', '- The surface is usually made of wood, glass, or other materials.', '- The legs are usually made of wood, metal, or other materials.', '- The frame is usually made of wood, metal, or other materials.', '- The table can be round, square, or rectangular in shape.', '- It can have chairs, benches']","[""rectangular shape,"", ""flat surface,"", ""legs""]",dining table,dining table with rectangular shape,dining table with flat surface,dining table with legs
dishrag,a cloth for washing dishes,cloth for washing dishes,n03207743,"['A dishrag is a rectangular piece of cloth, typically made of cotton or a cotton-poly blend, used for cleaning dishes and wiping down surfaces. It is usually white or light-colored, with a soft, absorbent texture. The edges are often hemmed to prevent fraying, and the cloth may have a decorative trim or a loop for hanging. Dishrags are commonly used in kitchens and are often washed and reused multiple times before being replaced. They are an essential tool for cleaning and maintaining']","[""absorbent material,"", ""rectangular shape,"", ""soft, woven texture""]",dishcloth,dishcloth with absorbent material,dishcloth with rectangular shape,"dishcloth with soft, woven texture"
dishwasher,a machine for washing dishes,machine for washing dishes,n03207941,"['A dishwasher is an electrical appliance designed to clean and sanitize dishes, utensils, and other kitchen items. It typically consists of a stainless steel or plastic cabinet with a door that opens to reveal a compartment for loading dishes. The dishwasher uses hot water, detergent, and a series of sprayers and jets to clean the dishes, and then dries them using heat and air circulation. Dishwashers are designed to be energy-efficient and can be controlled using a variety of settings and options, such as temperature']","[""rectangular body shape,"", ""flat, smooth surface,"", ""various buttons and controls""]",dishwasher,dishwasher with rectangular body shape,"dishwasher with flat, smooth surface",dishwasher with various buttons and controls
disk_brake,hydraulic brake in which friction is applied to both sides of a spinning disk by the brake pads,hydraulic brake with spinning disk and brake pads,n03208938,"['- The disk brake is a type of hydraulic brake that uses a spinning disk to slow down or stop a vehicle. It consists of a rotor, which is the spinning disk, and brake pads, which are the friction material that applies pressure to the rotor. The brake pads are attached to a caliper, which is a metal housing that contains the brake pads and the hydraulic fluid that operates the brake. When the brake pedal is pressed, the hydraulic fluid flows through the caliper, causing the brake pads']","[""round shape,"", ""flat, circular surface,"", ""metallic color""]",disc brake,disc brake with round shape,"disc brake with flat, circular surface",disc brake with metallic color
dock,landing in a harbor next to a pier where ships are loaded and unloaded or repaired; may have gates to let water in or out,harbor with pier for loading and unloading,n03216828,"['- A dock is a structure built along a shore or in a harbor, where ships can be loaded, unloaded, or repaired. It is typically made of wood, steel, or concrete, and may have gates to control the flow of water in and out.', '- The dock may have a flat surface, known as a wharf, where cargo can be transferred between ships and land vehicles. It may also have cranes, winches, and other equipment to facilitate loading and unloading.']","[""flat, horizontal surface,"", ""vertical pilings,"", ""metallic color""]",dock,"dock with flat, horizontal surface",dock with vertical pilings,dock with metallic color
dogsled,a sled pulled by dogs,dog-pulled sled,n03218198,"['A dogsled is a type of sled designed to be pulled by dogs. It typically consists of a wooden or plastic frame with a flat, smooth surface and a set of runners or skis that allow it to glide across snow or ice. The sled is designed to be pulled by a team of dogs, which are typically huskies or other breeds that are well-suited to pulling heavy loads over long distances. The dogs are harnessed to the sled and pull it forward, using their strength']","[""long, narrow body shape,"", ""wooden runners,"", ""metal or leather harness""]",dog sled,"dog sled with long, narrow body shape",dog sled with wooden runners,dog sled with metal or leather harness
dome,a hemispherical roof,hemispherical roof,n03220513,"['A dome is a hemispherical roof that is typically made of stone, metal, or concrete. It is characterized by its curved shape, which is often used to create a sense of grandeur or to provide structural support. Domes can be found in various architectural styles, from ancient Greek and Roman structures to modern buildings. They can be small and intimate or large and imposing, and are often decorated with intricate carvings, mosaics, or other forms of ornamentation.', 'Class']","[""domed shape,"", ""smooth surface,"", ""no distinctive colors or patterns""]",dome,dome with domed shape,dome with smooth surface,dome with no distinctive colors or patterns
doormat,a mat placed outside an exterior door for wiping the shoes before entering,mat placed outside an exterior door for wiping the shoes,n03223299,"['A doormat is a flat, rectangular mat made of various materials such as rubber, coir, or fabric. It is typically placed outside an exterior door to catch dirt, dust, and moisture from shoes before they enter a building. The mat is usually designed with a non-slip backing to prevent it from sliding or moving around. The surface of the mat is often textured or has a pattern to help remove dirt and debris from shoes. Doormats come in a variety of sizes, shapes']","[""rectangular shape,"", ""coarse, woven texture,"", ""brightly colored designs or patterns""]",doormat,doormat with rectangular shape,"doormat with coarse, woven texture",doormat with brightly colored designs or patterns
drilling_platform,drilling rig consisting of an offshore platform (floating or fixed to the sea bed) from which many oil wells can be bored radially,drilling rig consisting of an offshore platform,n03240683,"['A drilling platform is a large structure used for drilling and extracting oil from the ocean floor. It is typically a floating or fixed structure that is anchored to the sea bed. The platform is equipped with drilling equipment, including drill pipes, drill bits, and pumps. The platform is also equipped with living quarters for the workers, as well as storage facilities for equipment and supplies. The platform is designed to withstand harsh weather conditions and is equipped with safety features to protect the workers. The drilling platform is an essential']","[""industrial structure,"", ""metallic surface,"", ""cylindrical shape""]",drilling rig,drilling rig with industrial structure,drilling rig with metallic surface,drilling rig with cylindrical shape
drum,a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end,musical percussion instrument with hollow cylinder and membrane,n03249569,"['- The drum is a hollow cylinder with a membrane stretched across each end, typically made of animal skin or synthetic materials.', '- The drumhead is usually tuned to produce a specific pitch or tone.', '- The drum is played by striking the membrane with the hands, fingers, or a stick, creating a variety of sounds and rhythms.', '- The drum is a versatile instrument, used in many different musical genres and cultures.', '- The size and shape of the drum can vary greatly, from']","[""cylindrical body shape,"", ""rounded head,"", ""distinctive brown or black stripes""]",drum,drum with cylindrical body shape,drum with rounded head,drum with distinctive brown or black stripes
drumstick,a stick used for playing a drum,stick used for playing a drum,n03250847,"['- A drumstick is a long, thin, cylindrical stick made of wood, plastic, or other materials.', '- The stick has a rounded or tapered end, which is used to strike the drumhead.', '- The length and material of the drumstick can vary depending on the type of drum being played and the desired sound.', '- Drumsticks are typically used in pairs, with one stick used for the bass drum and the other for the snare drum.', 'Class: Guitar']","[""long, thin body shape,"", ""smooth, curved surface,"", ""white or light-colored tip""]",drumstick,"drumstick with long, thin body shape","drumstick with smooth, curved surface",drumstick with white or light-colored tip
dumbbell,an exercising weight; two spheres connected by a short bar that serves as a handle,exercising weight with two spheres connected by a bar,n03255030,"['- The dumbbell is a type of exercising weight that is used to build strength and muscle mass. It typically consists of two spheres connected by a short bar that serves as a handle.', '- The spheres are usually made of metal, such as iron or steel, and are coated with a layer of rubber or plastic to prevent them from scratching or damaging surfaces.', '- The dumbbell is designed to be held in each hand, with the handle resting in the palm and the spheres hanging down from the']","[""handle shape,"", ""bar shape,"", ""metallic color""]",dumbbell,dumbbell with handle shape,dumbbell with bar shape,dumbbell with metallic color
dutch_oven,an oven consisting of a metal box for cooking in front of a fire,oven for cooking in front of a fire,n03259280,"['A Dutch oven is a type of cooking vessel that consists of a metal box with a tight-fitting lid. It is typically made of cast iron or ceramic materials and is designed for cooking over an open flame, such as a campfire or woodstove. The Dutch oven is characterized by its thick walls, which allow for even heat distribution and retention. The lid is usually weighted with a trivet or rocks to prevent it from lifting off during cooking. The Dutch oven is often used for slow-co']","[""round body shape,"", ""sturdy handle,"", ""enameled exterior""]",Dutch oven,Dutch oven with round body shape,Dutch oven with sturdy handle,Dutch oven with enameled exterior
electric_fan,a fan run by an electric motor,electric fan,n03271574,"['- The electric fan is a device that uses an electric motor to create a flow of air. It is typically used to circulate air in a room, providing a cooling effect.', '- The fan has a series of blades that rotate when the motor is turned on, creating a gentle breeze.', '- The fan can be adjusted to change the direction and speed of the airflow.', '- The fan is typically mounted on a wall or placed on a table.', '- The fan is a common household']","[""cylindrical body shape,"", ""blades with curved edges,"", ""metallic or plastic material""]",electric fan,electric fan with cylindrical body shape,electric fan with blades with curved edges,electric fan with metallic or plastic material
electric_guitar,a guitar whose sound is amplified by electrical means,electric guitar,n03272010,"['- Body: typically made of wood, with a contoured shape for comfort and playability', '- Neck: typically made of wood, with frets and a headstock', '- Strings: typically made of metal or nylon, with a range of pitches and tunings', '- Pickups: typically made of magnetic materials, with coils and wires to capture and amplify the vibrations of the strings', '- Electronics: typically include a tone control, volume control, and output jack', '-']","[""curved body shape,"", ""fretted neck,"", ""pickups""]",electric guitar,electric guitar with curved body shape,electric guitar with fretted neck,electric guitar with pickups
electric_locomotive,a locomotive that is powered by an electric motor,electric locomotive,n03272562,"['- The electric locomotive is a type of locomotive that is powered by an electric motor. It is typically used for hauling heavy loads over long distances, such as freight trains.', '- The electric locomotive has a sleek and modern design, with a streamlined body and a powerful electric motor. It is capable of reaching high speeds and can haul heavy loads with ease.', '- The electric locomotive is also environmentally friendly, producing no emissions or noise pollution. It is a popular choice for many rail']","[""streamlined body shape,"", ""metallic, reflective surface,"", ""distinctive headlight""]",electric locomotive,electric locomotive with streamlined body shape,"electric locomotive with metallic, reflective surface",electric locomotive with distinctive headlight
entertainment_center,a wall unit containing sound and television systems,wall unit with sound and television systems.,n03290653,"['- The entertainment center is a large, wooden cabinet with a flat top and a series of shelves and drawers. It is designed to hold a television, sound system, and other electronic devices.', '- The cabinet has a smooth, glossy finish and is adorned with decorative trim and molding.', '- The shelves are adjustable and can be moved to accommodate different sizes of devices.', '- The drawers are designed to store CDs, DVDs, and other media.', '- The entertainment center is typically placed in a']","[""flat, rectangular shape,"", ""rows of buttons and controls,"", ""glowing LED lights""]",entertainment center,"entertainment center with flat, rectangular shape",entertainment center with rows of buttons and controls,entertainment center with glowing LED lights
envelope,"a flat (usually rectangular) container for a letter, thin package, etc.",flat container for a letter or a thin package,n03291819,"['- A rectangular or square piece of paper or cardboard, typically with a flap or seal on one side.', '- Used to enclose and protect a letter, document, or small package.', '- Often has a printed address on the front and a return address on the back.', '- Can be made of various materials, such as paper, cardboard, or plastic.', '- Can be used for formal or informal correspondence, or for sending small items.', 'Class: Book', 'Minimal Definition:']","[""rectangular shape,"", ""flat, smooth surface,"", ""white or cream-colored background""]",envelope,envelope with rectangular shape,"envelope with flat, smooth surface",envelope with white or cream-colored background
espresso_maker,a coffee maker that forces live steam under pressure through dark roasted coffee grounds,coffee maker that forces live steam under pressure,n03297495,"['- The espresso maker is a small, compact device with a stainless steel body and a copper heating element.', '- It has a removable portafilter that holds the coffee grounds and a steam wand that allows for frothing milk.', '- The machine uses a pump to force live steam through the coffee grounds, producing a concentrated shot of espresso.', '- The espresso maker is typically used in a commercial setting, such as a coffee shop, but can also be used in a home setting with proper maintenance']","[""cylindrical body shape,"", ""chrome or stainless steel surface,"", ""rounded handle""]",espresso machine,espresso machine with cylindrical body shape,espresso machine with chrome or stainless steel surface,espresso machine with rounded handle
face_powder,cosmetic powder for the face,face powder,n03314780,"['- A face powder is a type of cosmetic product used to absorb excess oil and even out skin tone.', '- It is typically applied to the face using a powder puff or brush.', '- Face powders can be translucent or tinted, and may contain additional ingredients such as SPF, antioxidants, or moisturizers.', '- They are available in a range of textures, from loose powders to pressed powders, and can be used to set makeup, reduce shine, or provide a natural-looking']","[""powder-like texture,"", ""compact, rounded shape,"", ""soft, matte finish""]",face powder,face powder with powder-like texture,"face powder with compact, rounded shape","face powder with soft, matte finish"
feather_boa,a long thin fluffy scarf of feathers or fur,long thin fluffy scarf of feathers or fur,n03325584,"['A feather boa is a long, thin, fluffy scarf made from feathers or fur. It is often used as a fashion accessory to add a touch of elegance and sophistication to an outfit. The feathers or fur are typically arranged in a long, flowing pattern, with the ends tied together to form a knot. The boa can be worn around the neck, draped over the shoulders, or even used as a hairpiece. It is often used to add a pop of color and texture to an outfit, and']","[""fluffy, soft texture,"", ""long, thin shape,"", ""iridescent colors, shimmering in the light""]",feather boa,"feather boa with fluffy, soft texture","feather boa with long, thin shape","feather boa with iridescent colors, shimmering in the light"
file,office furniture consisting of a container for keeping papers in order,container for keeping papers in order,n03337140,"['A file is a piece of office furniture designed to keep papers in order. It typically consists of a rectangular box with a lid and a handle. The box is usually made of wood, metal, or plastic, and has a series of slots or compartments to store papers. The lid is designed to open and close, allowing the user to easily access the contents of the file. Files are commonly used in offices to store and organize documents, reports, and other papers.', 'Class: book']","[""flat, rectangular shape,"", ""grid-like pattern,"", ""white or light-colored background""]",filing cabinet,"filing cabinet with flat, rectangular shape",filing cabinet with grid-like pattern,filing cabinet with white or light-colored background
fireboat,a boat equipped to fight fires on ships or along a waterfront,boat equipped to fight fires,n03344393,"['A fireboat is a specialized boat designed to fight fires on ships or along a waterfront. It is typically equipped with powerful pumps, hoses, and firefighting equipment. The boat is usually propelled by a powerful engine, allowing it to quickly respond to emergencies. Fireboats are often used by fire departments or coast guards to respond to fires on ships, piers, or other waterfront areas. They are also used for search and rescue operations and other emergency situations.', 'Class: submarine', 'Minimal Definition']","[""long, curved hull,"", ""multiple, rotating water cannons,"", ""bright, reflective paint job""]",fireboat,"fireboat with long, curved hull","fireboat with multiple, rotating water cannons","fireboat with bright, reflective paint job"
fire_engine,any of various large trucks that carry firemen and equipment to the site of a fire,large trucks that carry firemen and equipment,n03345487,"['- A fire engine is a large, heavy-duty vehicle designed to transport firefighters and equipment to the site of a fire.', '- It typically has a long, curved ladder on the side, which can be extended to reach high-rise buildings or to rescue people from upper floors.', '- The engine is powered by a diesel engine and has a large water tank and a pump to supply water to the fire.', '- Fire engines are equipped with a variety of tools and equipment, such as hoses, l']","[""red or yellow body,"", ""black or dark-colored stripes,"", ""large, round headlights""]",fire truck,fire truck with red or yellow body,fire truck with black or dark-colored stripes,"fire truck with large, round headlights"
fire_screen,a metal screen before an open fire for protection (especially against flying sparks),metal screen for protection against flying sparks,n03347037,"['A fire screen is a metal screen placed before an open fire for protection. It is typically made of metal, such as wrought iron or steel, and is designed to prevent sparks and embers from flying out of the fireplace and causing damage or starting a fire elsewhere. The screen is usually rectangular in shape and has a flat top and sides. It may have a decorative design or pattern, and may be adjustable to fit different sizes of fireplaces. The screen is typically placed in front of the fireplace,']","[""flattened body shape,"", ""small, rounded buttons,"", ""red, glowing screen""]",fire screen,fire screen with flattened body shape,"fire screen with small, rounded buttons","fire screen with red, glowing screen"
flagpole,a tall staff or pole on which a flag is raised,tall staff or pole on which a flag,n03355925,"['A flagpole is a tall, slender structure typically made of metal, wood, or fiberglass. It is designed to hold a flag or banner, and is often mounted on a base or foundation to prevent it from toppling over. Flagpoles can vary in height, but are typically between 10 and 50 feet tall. They are often used to display national flags, corporate logos, or other symbols of identity.', 'Class: Bicycle', 'Minimal Definition: a vehicle with two wheels,']","[""vertical pole shape,"", ""metallic material,"", ""typically topped with a flag""]",flagpole,flagpole with vertical pole shape,flagpole with metallic material,flagpole with typically topped with a flag
flute,a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown,high-pitched woodwind instrument ,n03372029,"['- The flute is a high-pitched woodwind instrument that is played by blowing air across the embouchure hole, causing the air column inside the instrument to vibrate and produce sound.', '- The flute is typically made of wood, metal, or plastic, and has a slender tube with finger holes on one end and an opening near the closed end across which the breath is blown.', '- The instrument is played by covering and uncovering the finger holes with the fingers to change the pitch of']","[""long, slender shape,"", ""metallic, shiny surface,"", ""finger holes""]",flute,"flute with long, slender shape","flute with metallic, shiny surface",flute with finger holes
folding_chair,a chair that can be folded flat for storage,chair that can be folded flat for storage,n03376595,"['A folding chair is a type of chair that can be folded flat for easy storage and transportation. It typically consists of a metal or plastic frame with a seat and backrest. The frame is designed to be collapsible, allowing the chair to be folded up and stored in a compact space. The seat and backrest are usually made of fabric or plastic, and may be removable for cleaning or replacement. Folding chairs are often used for outdoor events, picnics, or camping trips, as they are']","[""rectangular frame,"", ""hinged legs,"", ""smooth, flat surface""]",folding chair,folding chair with rectangular frame,folding chair with hinged legs,"folding chair with smooth, flat surface"
football_helmet,a padded helmet with a face mask to protect the head of football players,padded helmet with a face mask.,n03379051,"['- The football helmet is a protective gear worn by football players to prevent head injuries. It is made of a hard outer shell, a foam padding, and a face mask.', '- The outer shell is made of plastic or other materials and is designed to absorb impact.', '- The foam padding is placed inside the helmet to provide additional cushioning and protection.', ""- The face mask is a metal or plastic structure that covers the player's face, protecting it from impact and providing additional protection for the""]","[""rounded head,"", ""facemask,"", ""ear holes""]",football helmet,football helmet with rounded head,football helmet with facemask,football helmet with ear holes
forklift,a small industrial vehicle with a power operated forked platform in front that can be inserted under loads to lift and move them,small industrial vehicle with a power operated fork,n03384352,['A forklift is a small industrial vehicle designed to lift and move heavy loads. It has a power operated forked platform in front that can be inserted under loads to lift and move them. The platform is typically adjustable in height and can be raised and lowered using a lever or button. The forklift is powered by an electric motor or internal combustion engine and has a set of wheels that allow it to move around a warehouse or storage area. The operator sits in a seat and controls the for'],"[""boxy, rectangular body shape,"", ""metallic surface,"", ""wheels and forks""]",forklift,"forklift with boxy, rectangular body shape",forklift with metallic surface,forklift with wheels and forks
fountain,a structure from which an artificially produced jet of water arises,jet of water arising from a structure.,n03388043,"['A fountain is a structure that produces a jet of water, typically for decorative or recreational purposes. It can be a standalone feature or part of a larger landscape design. Fountains can be powered by electricity, pumps, or gravity, and can produce a variety of effects, such as spraying water, creating a mist, or flowing water. They can be made of various materials, including stone, metal, or concrete, and can be designed to fit different architectural styles or themes.', 'Class: Guitar']","[""water flowing from a central point,"", ""stone or concrete structure,"", ""decorative features such as statues or lights""]",fountain,fountain with water flowing from a central point,fountain with stone or concrete structure,fountain with decorative features such as statues or lights
fountain_pen,a pen that is supplied with ink from a reservoir in its barrel,pen with an ink reservoir.,n03388183,"['A fountain pen is a type of pen that uses a reservoir of ink in its barrel to supply the writing tip. The ink flows through a small channel, called a feed, to the nib, which is the metal point that comes into contact with the paper. The nib is typically made of metal and is designed to produce a smooth, consistent line. Fountain pens are known for their ability to produce a wide range of line widths and styles, depending on the pressure and angle of the writer. They are']","[""cylindrical body shape,"", ""metallic material,"", ""nib at the tip""]",fountain pen,fountain pen with cylindrical body shape,fountain pen with metallic material,fountain pen with nib at the tip
four-poster,a bed with posts at the four corners that can be used to support a canopy or curtains,bed with posts that can be used to,n03388549,"['A four-poster bed is a type of bed that has four vertical posts, one at each corner, that can be used to support a canopy or curtains. The posts are typically made of wood or metal and are connected at the top by a horizontal beam. The bed frame is usually made of wood or metal and has a flat, rectangular surface. The posts can be decorated with carvings, upholstery, or other embellishments. The bed can be used with or without a canopy or curtains,']","[""four-poster structure,"", ""vertical posts,"", ""horizontal rails""]",four-poster bed,four-poster bed with four-poster structure,four-poster bed with vertical posts,four-poster bed with horizontal rails
freight_car,a railway car that carries freight,railway car that carries freight,n03393912,"['A freight car is a type of railway car designed to carry goods and cargo. It is typically a large, box-shaped car with a flat bottom and vertical sides. The car is usually made of steel and has a smooth, rust-resistant surface. The doors are typically at the ends of the car, and they can be opened and closed to load and unload cargo. Freight cars can be used to transport a wide variety of goods, including coal, grain, and manufactured products.', 'Class: passenger']","[""boxy body shape,"", ""flat, rectangular wheels,"", ""metallic color with stripes or logos""]",freight car,freight car with boxy body shape,"freight car with flat, rectangular wheels",freight car with metallic color with stripes or logos
french_horn,a brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves,brass musical instrument with a coiled tube,n03394916,"[""- The French horn is a brass instrument that is played by blowing air through a mouthpiece, causing a vibration in the instrument's metal tubing."", '- The instrument is typically made of brass and has a conical shape, with the bell end being larger than the mouthpiece end.', '- The French horn has a distinctive, mellow sound that is often used in classical music and jazz.', '- The instrument is played by pressing valves to change the pitch of the instrument, and the player can']","[""curved, tapered shape,"", ""brass or silver material,"", ""ornate, flared bell""]",French horn,"French horn with curved, tapered shape",French horn with brass or silver material,"French horn with ornate, flared bell"
